wave_um,R,G,B
0.4,0.051247540770899186,0.01952908578952798,0.19741035416218206
0.405,0.04421884657669373,0.021951574364257837,0.22852954867262418
0.41,0.03767130686115355,0.02443030699491884,0.2582404514459713
0.415,0.03112227441333284,0.026909039625579844,0.27786055273956517
0.42,0.02529931444084958,0.029130042061583424,0.294512832645858
0.425,0.02103187795639683,0.031036851228456685,0.3155888602992482
0.43,0.01753829473141552,0.03294366039532994,0.336876843766686
0.435,0.012981856508945164,0.0348504695622032,0.3512045962285626
0.44,0.00922667266606709,0.03675727872907646,0.3633534784403025
0.445,0.0068771594180192745,0.04571126864209609,0.37544603457493936
0.45,0.006028732066398965,0.05584500692001604,0.38675670925935457
0.455,0.005861086977900294,0.06077385836531353,0.3959465479303295
0.46,0.006096815671912037,0.06554482966774174,0.4023897444055257
0.465,0.0064018549527819334,0.07797786905546314,0.40430951963336104
0.47,0.006602970074160552,0.09100399334135997,0.40286632056345945
0.475,0.006601354174738929,0.11886683538039361,0.39881623463899474
0.48,0.00651753222157593,0.1488610654289719,0.39005926211019637
0.485,0.005861549604197195,0.17996310236033136,0.36505750609814314
0.49,0.005287442922072686,0.2138432497632326,0.3371868570464584
0.495,0.005099128835904264,0.24772339716613379,0.30441112732462067
0.5,0.0052947087960869485,0.28476593787315496,0.2699571385370711
0.505,0.006907757442204391,0.32501460790960834,0.23871752767479984
0.51,0.009154862798288494,0.37024112171192414,0.20822370877955862
0.515,0.012008332266341987,0.4026246175239161,0.1721225570104216
0.52,0.01528828537495744,0.43233202091746087,0.13601517212279898
0.525,0.018500569272774655,0.44941029366295865,0.1105759331270059
0.53,0.020022677630163355,0.4659278946961764,0.08916986520481772
0.535,0.019454038408811523,0.4675186441106963,0.07824646285288432
0.54,0.017905678240718582,0.46875370535481364,0.06811161891832797
0.545,0.01644868491106394,0.45979779973424,0.05941795303026395
0.55,0.015610412178662351,0.4505626240145492,0.05141437455361672
0.555,0.017004109582921728,0.4331502094637681,0.043692067033612614
0.56,0.020167645372199325,0.41573779491298696,0.03693192902635317
0.565,0.025161407796472902,0.38775624093110633,0.03193272587028234
0.57,0.03741329892762824,0.3571762929974156,0.0284670994595532
0.575,0.0980260972714435,0.3261416751825002,0.026509828329359702
0.58,0.16326840664495426,0.29506803921371755,0.025726399177646398
0.585,0.2845180092381303,0.26519992240003154,0.025769124005902755
0.59,0.3991541714529407,0.2340352194383693,0.02621615445822166
0.595,0.4427830411615543,0.19514292508201458,0.023494616702762997
0.6,0.4715033067857853,0.15857173545894826,0.021180792292941113
0.605,0.47762406093315035,0.12636716893962702,0.01966883569487602
0.61,0.4771308728274972,0.09488053657127218,0.019033806566743087
0.615,0.47265585848454067,0.08114262767222181,0.01900586604703979
0.62,0.46537622355922637,0.06783853861461606,0.018977925527336414
0.625,0.45494804471271016,0.06281351991664531,0.01926988250717275
0.63,0.4450700189030878,0.05778850121867457,0.020177914884454983
0.635,0.439477325118769,0.05596464178413714,0.02186507683399623
0.64,0.4355364149858025,0.05417453963063069,0.02423954102025256
0.645,0.43178691834573457,0.05415244596131952,0.02688752589133459
0.65,0.4262368228085257,0.05415244596131952,0.029885457760821806
0.655,0.41426870633307966,0.055773001507256934,0.03321364079503507
0.66,0.40206874895647743,0.05741748502120674,0.03674428970110731
0.665,0.3956686109237334,0.06297521380468078,0.03990072262657545
0.67,0.3895896610610879,0.07018569527799345,0.04286829358538721
0.675,0.37778583366581847,0.07928087104259121,0.04549135166604512
0.68,0.36501692269538655,0.08837604680718898,0.047776472387811415
0.685,0.35838450949179695,0.09782305151545233,0.049810591963775616
0.69,0.35349616987613497,0.10859527523098877,0.05176610199183637
0.695,0.3493036235661224,0.11940482619350815,0.05432545354259144
0.7,0.34717055864261703,0.13049807523410795,0.05625140014648728
0.705,0.34755527991714286,0.13780340971464142,0.057244039796470386
0.71,0.34983663515504493,0.14495141914431675,0.05751011916776545
0.715,0.35198766079938487,0.14554800007279858,0.05547011598225103
0.72,0.35263515710889953,0.14608571017404384,0.05343011279673653
0.725,0.34983637661589173,0.14389773432022615,0.05158426522930183
0.73,0.3471611802368032,0.14183661648704907,0.05027113173698642
0.735,0.3465605524490931,0.14622089495638985,0.05004760390148896
0.74,0.34628114134116833,0.15060517342573063,0.05066818493902629
0.745,0.3358248810513264,0.15635215065934496,0.05151013973973593
0.75,0.3242528460646444,0.1623594153466475,0.052583826927969333
0.755,0.31802210529613256,0.16836668003395006,0.053883823681917686
0.76,0.3128602945275593,0.1739662677401968,0.05536448328768893
0.765,0.3043894908070792,0.17678292927282563,0.05754688625208879
0.77,0.2949156319967743,0.17957484390021392,0.061295719199536705
0.775,0.28509189132868584,0.178995250794748,0.06691427134784349
0.78,0.2766509205598197,0.1784156576892821,0.07662376415322505
0.785,0.27194083107588,0.18308728620046927,0.09510891471376125
0.79,0.2685311178992623,0.18805696486327844,0.11651307967259056
0.795,0.26430201185005975,0.19491872693470963,0.1484734459461105
0.8,0.2601556967042848,0.20146431169478077,0.18032196470425849
0.805,0.25616028675593966,0.20475282377519388,0.19824731588885203
0.81,0.25194564149080284,0.20804133585560702,0.2112917909190464
0.815,0.2449990023484188,0.20901603420436268,0.21502128246709235
0.82,0.23734234801168236,0.2098355643501795,0.2150063854355008
0.825,0.22910122863489224,0.20678585369131056,0.21419605703234806
0.83,0.22252488860280648,0.20378862722193622,0.21241225401204195
0.835,0.21869825514239252,0.20222805547452907,0.20948487691739973
0.84,0.21544621384870805,0.20066748372712193,0.20563158602757164
0.845,0.21134083809513585,0.19958065690162977,0.2012294955509184
0.85,0.2058314001795899,0.1982382944720408,0.1962540130203134
0.855,0.19597375056195024,0.188571024628189,0.18934161796176405
0.86,0.1855503452742407,0.1789037547843372,0.18101879467318285
0.865,0.17448274703029257,0.16926543634296393,0.1705395762417647
0.87,0.16631344398339698,0.15989743738515297,0.16102549394748814
0.875,0.15945994462506305,0.15616225173601794,0.15637865393071548
0.88,0.15716838571178146,0.15242706608688292,0.1530619654701931
0.885,0.15328986375736786,0.1486918804377479,0.15036479197057476
0.89,0.14676261796749115,0.14478342232449315,0.14718362555049633
0.895,0.1400664106803188,0.1391916768985438,0.1391916768985438
0.9,0.13337020339314642,0.13034319322677074,0.13034319322677074
0.905,0.12696212446517743,0.12411985946022826,0.12411985946022826
0.91,0.12133410058531796,0.11791053928873471,0.11791053928873471
0.915,0.11439808986772901,0.11139734039270743,0.11139734039270743
0.92,0.1083129069678101,0.1047450412347542,0.1047450412347542
0.925,0.1023946077136603,0.09838403877881349,0.09838403877881349
0.93,0.0964763084595105,0.09245770936184712,0.09245770936184712
0.935,0.0905580092053607,0.08670330520632623,0.08670330520632623
0.94,0.08463970995121088,0.08215153541167143,0.08215153541167143
0.945,0.07951496677573508,0.07892840257730185,0.07892840257730185
0.95,0.07482032909623657,0.07635732481436175,0.07635732481436175
0.955,0.07012569141673805,0.0716340499357406,0.0716340499357406
0.96,0.06543105373723954,0.0661508450254231,0.0661508450254231
0.965,0.06073641605774102,0.06006631994862532,0.06006631994862532
0.97,0.05604177837824251,0.05382751586108392,0.05382751586108392
0.975,0.05134714069874399,0.048432560800095434,0.048432560800095434
0.98,0.04665250301924547,0.04391027624732728,0.04391027624732728
0.985,0.042639823349243676,0.040166153447958826,0.040166153447958826
0.99,0.03898688056408698,0.03695827498329731,0.03695827498329731
0.995,0.03404215255519375,0.03404215255519375,0.03404215255519375
1.0,0.03121949658989565,0.03121949658989565,0.03121949658989565
1.005,0.028245301769017,0.028245301769017,0.028245301769017
1.01,0.0252369488557463,0.0252369488557463,0.0252369488557463
1.015,0.0224002968819959,0.0224002968819959,0.0224002968819959
1.02,0.019911592021880403,0.019911592021880403,0.019911592021880403
1.025,0.017815688483474215,0.017815688483474215,0.017815688483474215
1.03,0.0159363676913144,0.0159363676913144,0.0159363676913144
1.035,0.014159121391853043,0.014159121391853043,0.014159121391853043
1.04,0.012417070268238234,0.012417070268238234,0.012417070268238234
1.045,0.010658764681536696,0.010658764681536696,0.010658764681536696
1.05,0.008926204040783018,0.008926204040783018,0.008926204040783018
1.055,0.0073994284042641495,0.0073994284042641495,0.0073994284042641495
1.06,0.006167626466922348,0.006167626466922348,0.006167626466922348
1.065,0.005150315743270424,0.005150315743270424,0.005150315743270424
1.07,0.004171319575098182,0.004171319575098182,0.004171319575098182
1.075,0.003165378108243507,0.003165378108243507,0.003165378108243507
1.08,0.0025708995990462603,0.0025708995990462603,0.0025708995990462603
1.085,0.002340104518381958,0.002340104518381958,0.002340104518381958
1.09,0.002248127026564414,0.002248127026564414,0.002248127026564414
1.095,0.001884890024803749,0.001884890024803749,0.001884890024803749
