wave_nm,flux_W/m2/micron/Ster
400,0.4531
401,0.4531
402,0.4531
403,0.4531
404,0.4531
405,0.4531
406,0.4531
407,0.4531
408,0.4531
409,0.4531
410,0.4531
411,0.4531
412,0.4531
413,0.4531
414,0.4531
415,0.4531
416,0.4531
417,0.4531
418,0.4531
419,0.4531
420,0.4531
421,0.4531
422,0.4531
423,0.4531
424,0.4531
425,0.4531
426,0.4531
427,0.4531
428,0.4531
429,0.4531
430,0.4531
431,0.4531
432,0.4531
433,0.4531
434,0.4531
435,0.4531
436,0.4531
437,0.4531
438,0.4531
439,0.4531
440,0.4531
441,0.4531
442,0.4531
443,0.4531
444,0.4531
445,0.4531
446,0.4531
447,0.4531
448,0.4531
449,0.4531
450,0.4531
451,0.4531
452,0.4531
453,0.4531
454,0.4531
455,0.4531
456,0.4531
457,0.4531
458,0.4531
459,0.4531
460,0.4531
461,0.4531
462,0.4531
463,0.4531
464,0.4531
465,0.4531
466,0.4531
467,0.4531
468,0.4531
469,0.4531
470,0.4531
471,0.4531
472,0.4531
473,0.4531
474,0.4531
475,0.4531
476,0.4531
477,0.4531
478,0.448512912
479,0.437992308
480,0.427471704
481,0.421591874
482,0.417454376
483,0.413439364
484,0.415398749
485,0.417358135
486,0.419737742
487,0.42303049
488,0.426323237
489,0.438866222
490,0.457267563
491,0.475668905
492,0.492293084
493,0.508744413
494,0.523504335
495,0.531995723
496,0.540487111
497,0.547317087
498,0.552586436
499,0.557855785
500,0.560842263
501,0.563330371
502,0.566679728
503,0.575896352
504,0.585112976
505,0.594170022
506,0.603021653
507,0.611873284
508,0.619727054
509,0.627245431
510,0.634888239
511,0.644423649
512,0.653959058
513,0.662625984
514,0.669857477
515,0.677088971
516,0.684635026
517,0.692319614
518,0.700081733
519,0.713483907
520,0.72688608
521,0.742055767
522,0.760735834
523,0.7794159
524,0.798179085
525,0.816985425
526,0.835791764
527,0.849864453
528,0.863858264
529,0.87460631
530,0.878163576
531,0.881720843
532,0.884415897
533,0.886626818
534,0.88883774
535,0.869110042
536,0.848746651
537,0.820094735
538,0.772581665
539,0.725068595
540,0.688434332
541,0.657899235
542,0.627364138
543,0.667550962
544,0.709310186
545,0.764777334
546,0.84967579
547,0.934574247
548,0.999809408
549,1.054882908
550,1.109875215
551,1.136359243
552,1.162843272
553,1.181347882
554,1.184929531
555,1.188511179
556,1.191700823
557,1.194719247
558,1.198374986
559,1.21536657
560,1.232358153
561,1.249249813
562,1.265989851
563,1.282729889
564,1.287098774
565,1.287363491
566,1.287394325
567,1.285464196
568,1.283534067
569,1.279669089
570,1.273571274
571,1.267473459
572,1.258373615
573,1.248632383
574,1.240136503
575,1.237101889
576,1.234067275
577,1.258876423
578,1.306518429
579,1.354160434
580,1.41550037
581,1.478109357
582,1.529671001
583,1.553243442
584,1.576815884
585,1.581994486
586,1.577390522
587,1.57288405
588,1.572236714
589,1.571589379
590,1.57271856
591,1.576529347
592,1.580340134
593,1.569653011
594,1.554741356
595,1.543390013
596,1.551863004
597,1.560335996
598,1.576394222
599,1.599120887
600,1.621847552
601,1.658042778
602,1.695503836
603,1.72150356
604,1.720508927
605,1.719514294
606,1.678138607
607,1.618108209
608,1.553558587
609,1.430761181
610,1.307963776
611,1.163173157
612,0.992772424
613,0.822371691
614,0.673946946
615,0.529278016
616,0.407590208
617,0.355553479
618,0.30351675
619,0.333920222
620,0.409864433
621,0.491718261
622,0.707535084
623,0.923351907
624,1.138987546
625,1.354394783
626,1.569802021
627,1.702848872
628,1.820729335
629,1.918761209
630,1.956813048
631,1.994864886
632,2.00832844
633,2.00883002
634,2.01000303
635,2.021162236
636,2.032321442
637,2.03662737
638,2.033304045
639,2.02998072
640,2.011142989
641,1.990297973
642,1.979655301
643,1.992853274
644,2.006051248
645,2.009078968
646,2.008071883
647,2.003270894
648,1.974003812
649,1.944736729
650,1.907819457
651,1.864757311
652,1.821695166
653,1.766538956
654,1.711096641
655,1.663821841
656,1.628735213
657,1.593648584
658,1.569159392
659,1.54687763
660,1.517816763
661,1.46905412
662,1.420291477
663,1.371048026
664,1.321584915
665,1.280598633
666,1.30246529
667,1.324331946
668,1.399302634
669,1.517147949
670,1.634993264
671,1.77414376
672,1.913514678
673,2.028889034
674,2.112225949
675,2.195562863
676,2.204801525
677,2.202846467
678,2.183897854
679,2.12735204
680,2.070806226
681,2.035657702
682,2.007421173
683,1.990524682
684,2.018313238
685,2.046101794
686,2.084195499
687,2.127813776
688,2.16875907
689,2.186071042
690,2.203383015
691,2.190022179
692,2.151992045
693,2.113281086
694,1.998667567
695,1.884054049
696,1.740746129
697,1.564498445
698,1.388250762
699,1.23382147
700,1.081180378
701,0.980093199
702,0.96137229
703,0.942651382
704,1.035928932
705,1.149329977
706,1.270566483
707,1.409045815
708,1.547525148
709,1.63671291
710,1.711933852
711,1.749506725
712,1.672920941
713,1.596335157
714,1.392734575
715,1.139447301
716,0.887676994
717,0.642305432
718,0.39693387
719,0.251412937
720,0.15585702
721,0.071077199
722,0.050689353
723,0.030301508
724,0.018944196
725,0.013069058
726,0.007701638
727,0.006748148
728,0.005794659
729,0.01299688
730,0.025958849
731,0.041957613
732,0.097667254
733,0.153376896
734,0.261134492
735,0.410118367
736,0.56375732
737,0.811785411
738,1.059813502
739,1.313958073
740,1.573354875
741,1.829712348
742,1.991192617
743,2.152672886
744,2.263292762
745,2.328096812
746,2.391647259
747,2.402323373
748,2.412999487
749,2.421255791
750,2.427298474
751,2.433103636
752,2.428978471
753,2.424853307
754,2.406376294
755,2.374991642
756,2.342236675
757,2.267542452
758,2.192848229
759,2.108257212
760,2.015195116
761,1.92224897
762,1.831602511
763,1.740956053
764,1.677028428
765,1.634161577
766,1.593534131
767,1.581581218
768,1.569628305
769,1.53364349
770,1.480798437
771,1.424009762
772,1.333592099
773,1.243174437
774,1.146666454
775,1.046492572
776,0.943203611
777,0.821629077
778,0.700054544
779,0.584279071
780,0.471374216
781,0.370541218
782,0.319785545
783,0.269029872
784,0.264158862
785,0.276989701
786,0.292710816
787,0.317056698
788,0.34140258
789,0.336676301
790,0.323864988
791,0.301554205
792,0.258666051
793,0.215777897
794,0.180914542
795,0.14745302
796,0.123808405
797,0.115598725
798,0.107389045
799,0.126320325
800,0.147349494
801,0.181964383
802,0.231914107
803,0.282316502
804,0.366327176
805,0.450337851
806,0.548378533
807,0.657494797
808,0.771271492
809,0.924184678
810,1.077097864
811,1.257529962
812,1.452392708
813,1.642332772
814,1.813484315
815,1.984635858
816,2.11422595
817,2.230780453
818,2.331990242
819,2.400121903
820,2.468253564
821,2.517583723
822,2.564217143
823,2.607875324
824,2.647657302
825,2.687439281
826,2.702194348
827,2.716847896
828,2.711481959
829,2.690366626
830,2.655432399
831,2.524153696
832,2.392874993
833,2.157177312
834,1.875267518
835,1.584685311
836,1.269800561
837,0.954915812
838,0.755356123
839,0.578616653
840,0.47096459
841,0.463291798
842,0.455619005
843,0.559349585
844,0.664835252
845,0.775738171
846,0.890856906
847,0.992188407
848,1.010384586
849,1.028580766
850,0.953513102
851,0.84292028
852,0.718298626
853,0.562170957
854,0.406043288
855,0.297131842
856,0.193816377
857,0.121239684
858,0.081696279
859,0.04434518
860,0.035250458
861,0.026155736
862,0.021416496
863,0.018881136
864,0.016978532
865,0.016895336
866,0.016812139
867,0.021102577
868,0.026140193
869,0.03291307
870,0.041788403
871,0.050535566
872,0.056957879
873,0.063380192
874,0.064480208
875,0.06276893
876,0.059146017
877,0.050039348
878,0.040932679
879,0.031891659
880,0.022860917
881,0.01675466
882,0.013909245
883,0.011279144
884,0.011027866
885,0.010776587
886,0.01067086
887,0.010628945
888,0.011041362
889,0.012467686
890,0.01389401
891,0.014116599
892,0.014242558
893,0.014665732
894,0.015338083
895,0.015768749
896,0.014969654
897,0.014170559
898,0.015092596
899,0.016481678
900,0.017507726
901,0.018013276
902,0.018867433
903,0.028734065
904,0.038600697
905,0.056281789
906,0.077888721
907,0.098888502
908,0.118444253
909,0.138000004
910,0.148073538
911,0.157415895
912,0.176907226
913,0.204281303
914,0.242284773
915,0.32299516
916,0.403705547
917,0.518630282
918,0.640180943
919,0.767319602
920,0.900554526
921,1.034223644
922,1.171054086
923,1.307884527
924,1.440675087
925,1.572226639
926,1.69948115
927,1.820598938
928,1.939149161
929,2.017764643
930,2.096380126
931,2.168258981
932,2.237399601
933,2.29741492
934,2.341459143
935,2.384485947
936,2.372750611
937,2.361015275
938,2.31791143
939,2.259696655
940,2.179121407
941,2.053870799
942,1.928620191
943,1.784970368
944,1.641214137
945,1.519459897
946,1.409194274
947,1.316848886
948,1.262289794
949,1.207730703
950,1.179921642
951,1.152425427
952,1.112244555
953,1.065447572
954,1.002612103
955,0.906917295
956,0.81118943
957,0.674683282
958,0.538177134
959,0.423606567
960,0.319566794
961,0.234007007
962,0.182394215
963,0.131914545
964,0.116434468
965,0.100954392
966,0.097022563
967,0.097756242
968,0.098575519
969,0.099525814
970,0.100490026
971,0.101614083
972,0.10273814
973,0.103929331
974,0.105140912
975,0.106372726
976,0.107628675
977,0.1087
978,0.1087
979,0.1087
980,0.1087
981,0.1087
982,0.1087
983,0.1087
984,0.1087
985,0.1087
986,0.1087
987,0.1087
988,0.1087
989,0.1087
990,0.1087
991,0.1087
992,0.1087
993,0.1087
994,0.1087
995,0.1087
996,0.1087
997,0.1087
998,0.1087
999,0.1087
1000,0.1087
1001,0.1087
1002,0.1087
1003,0.1087
1004,0.1087
1005,0.1087
1006,0.1087
1007,0.1087
1008,0.1087
1009,0.1087
1010,0.1087
1011,0.1087
1012,0.1087
1013,0.1087
1014,0.1087
1015,0.1087
1016,0.1087
1017,0.1087
1018,0.1087
1019,0.1087
1020,0.1087
1021,0.1087
1022,0.1087
1023,0.1087
1024,0.1087
1025,0.1087
1026,0.1087
1027,0.1087
1028,0.1087
1029,0.1087
1030,0.1087
1031,0.1087
1032,0.1087
1033,0.1087
1034,0.1087
1035,0.1087
1036,0.1087
1037,0.1087
1038,0.1087
1039,0.1087
1040,0.1087
1041,0.1087
1042,0.1087
1043,0.1087
1044,0.1087
1045,0.1087
1046,0.1087
1047,0.1087
1048,0.1087
1049,0.1087
